sample_no,pid,ppid,cpu_children_sys,cpu_children_user,cpu_user,cpu_sys,cpu_percent,cpu_num,label
20987126,24,2,0,0,0,0,0,1,0
20987153,129,2,0,0,0,0,0,0,0
20987131,21,2,0,0,0,0,0,1,0
20987177,3,2,0,0,0,0,0,0,0
20987214,13,2,0,0,0,0,0,1,0
20987193,34,2,0,0,0,0,0,1,0
20987206,2,0,0,0,0,0,0,1,0
20987161,53,2,0,0,0,0,0,1,0
20987139,4,2,0,0,0,0,0,0,0
20987230,5,2,0,0,0,0,0,0,0
20987188,31,2,0,0,0,0,0,0,0
20987183,586,2,0,0,0,0,0,0,0
20987151,127,2,0,0,0,0,0,0,0
20987182,1013,2,0,0,0,0,0,0,0
20987217,14,2,0,0,0,0,0,1,0
20987216,15,2,0,0,0,0,0,1,0
20987187,32,2,0,0,0,0,0,1,0
20987184,443,2,0,0,0,0,0,1,0
20987138,344,2,0,0,0,0,0,1,0
20987118,348,2,0,0,0,0,0,1,0
20987239,350,2,0,0,0,0,0,1,0
20987207,6,2,0,0,0,0,0,0,0
20987189,30,2,0,0,0,0,0,1,0
20987205,69,2,0,0,0,0,0,1,0
20987237,70,2,0,0,0,0,0,1,0
20987162,411,1,0,0,0,0,0,0,0
20987224,1023,1,0,0,0,0,0,1,0
20987136,28,2,0,0,0,0,0,1,0
20987228,1093,1,0,0,0,0,0,1,0
20987231,9,2,0,0,0,0,0,0,0
20987150,12,2,0,0,0,0,0,1,0
20987168,1324,1291,0,0,0.18,0.69,0,0,0
20987218,17,2,0,0,0,0,0,1,0
20987221,18,2,0,0,0,0,0,1,0
20987211,1212,1,1.53,3.44,0,0,0,0,0
20987143,1316,1212,0,0,0.19,0.08,2.7,0,0
20987144,1315,1212,0,0,0.19,0.11,3,1,0
20987145,1314,1212,0,0,0.37,0.12,4.9,1,0
20987146,1311,1212,0,0,0.22,0.07,2.9,0,0
20987147,1310,1212,0,0,0.31,0.17,4.8,0,0
